Datum	Zeme	Latitude	Longitude	Production country appearances	Kumulativne	Kontinent	Filmy celkem	Koprodukcni filmy	Podil koprodukci	Koprodukce s Ceskem	Prvni vyskyt	Posledni vyskyt	Nejvyraznejsi rok	Top koprodukcni partneri	Ukazkove filmy	Ceny	Reziseri	DetailKey	Metric
01/07/1998	Bulgaria	42.7	25.5	1	4	Evropa	53	40	75.5 %	6	1994	2025	2018 (4)	Germany (14); France (11); Romania (7); Czech Republic (6); Turkey (6); Greece (5); Serbia (4); Russia (4)	2025: Cinema Jazireh; 2025: How Come It's All Green Out Here?; 2024: Windless; 2023: To the North; 2023: Citizen Saint	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Bulgaria	Production country appearances in KVIFF catalogue
01/07/1998	Canada	56.1	-106.3	3	33	Severni Amerika	219	76	34.7 %	2	1992	2025	2005 (16)	France (22); USA (15); United Kingdom (14); Germany (6); Belgium (4); Palestine (3); China (3); Lebanon (3)	2025: Things You Kill; 2025: Partition; 2025: Archipelago of Earthen Bones – To Bunya; 2025: Shattered Glass; 2025: Black Screen Too	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Canada	Production country appearances in KVIFF catalogue
01/07/1998	Chile	-35.7	-71.5	1	1	Latinska Amerika	28	20	71.4 %	0	1998	2025	2017 (4)	France (8); Germany (7); Argentina (5); Spain (3); Mexico (3); Netherlands (3); Brazil (3); USA (2)	2025: Mysterious Gaze of the Flamingo; 2025: Blue Trail; 2024: AliEN0089; 2023: Delinquents; 2023: Sorcery	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Chile	Production country appearances in KVIFF catalogue
01/07/1998	China	35.9	104.2	2	7	Asie	68	31	45.6 %	0	1994	2025	2002 (8)	France (12); Hong Kong (9); USA (7); Canada (3); Japan (3); United Kingdom (2); Germany (2); South Korea (2)	2025: Resurrection; 2025: Girls on Wire; 2024: Shambhala; 2024: Stranger; 2024: Brief History of a Family	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	China	Production country appearances in KVIFF catalogue
01/07/1998	Czech Republic	49.8	15.5	11	124	Evropa	783	249	31.8 %	0	1994	2025	1994 (46)	Slovak Republic (144); France (40); Germany (34); Poland (22); USA (15); United Kingdom (14); Italy (9); Slovenia (9)	2025: Hurikán; 2025: Tales from the Magic Garden; 2025: Action Item; 2025: Caravan; 2025: I Died in Irpin	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Czech Republic	Production country appearances in KVIFF catalogue
01/07/1998	Czechoslovakia	49.8	15	1	24	Evropa	135	6	4.4 %	0	1992	2025	1995 (16)	Italy (2); Germany (1); France (1); Poland (1); Belgium (1)	2025: Death of the Beautiful Deer; 2025: Ecce Homo Homolka; 2025: Every Young Man; 2024: Joseph Kilian; 2024: Murdering the Devil	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Czechoslovakia	Production country appearances in KVIFF catalogue
01/07/1998	Denmark	56.3	9.5	3	9	Evropa	150	84	56 %	6	1995	2025	2005 (10)	Sweden (33); France (28); Germany (22); Iceland (13); Norway (12); United Kingdom (10); Netherlands (8); Mexico (7)	2025: Kill the Jockey; 2025: Love That Remains; 2025: Sentimental Value; 2025: About a Hero; 2024: Crossing	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Denmark	Production country appearances in KVIFF catalogue
01/07/1998	Estonia	58.6	25	2	5	Evropa	52	21	40.4 %	1	1996	2023	2018 (7)	Finland (6); Russia (6); Latvia (5); Germany (4); Sweden (3); France (3); Lithuania (2); USA (1)	2023: Stolen Meeting; 2022: Captain Volkonogov Escaped; 2021: Compartment No. 6; 2021: Conference; 2021: My Dear Corpses	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Estonia	Production country appearances in KVIFF catalogue
01/07/1998	Finland	61.9	25.7	2	14	Evropa	76	40	52.6 %	2	1992	2025	1995 (6)	Germany (18); Sweden (11); Estonia (6); Russia (6); Denmark (4); United Kingdom (3); Brazil (2); Latvia (2)	2025: Fish River Anthology; 2024: Preemptive Listening; 2024: Silent Trilogy; 2023: Fallen Leaves; 2023: Sisu	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Finland	Production country appearances in KVIFF catalogue
01/07/1998	France	46.2	2.2	26	107	Evropa	985	676	68.6 %	40	1992	2025	2024 (54)	Germany (152); Italy (117); Belgium (107); USA (60); United Kingdom (51); Switzerland (47); Spain (45); Netherlands (41)	2025: Two Prosecutors; 2025: Mysterious Gaze of the Flamingo; 2025: Renoir; 2025: Anatomy of the Horses; 2025: Hurikán	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	France	Production country appearances in KVIFF catalogue
01/07/1998	Germany	51.2	10.4	14	65	Evropa	653	434	66.5 %	34	1992	2025	2015 (30)	France (152); Austria (51); USA (44); Czech Republic (34); United Kingdom (32); Netherlands (32); Italy (31); Switzerland (30)	2025: All That's Left of You; 2025: Two Prosecutors; 2025: Mysterious Gaze of the Flamingo; 2025: Sentimental Value; 2025: Yes	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Germany	Production country appearances in KVIFF catalogue
01/07/1998	Greece	39.1	21.8	1	5	Evropa	84	36	42.9 %	2	1995	2025	2015 (10)	Germany (13); Turkey (7); Cyprus (6); France (5); Bulgaria (5); Netherlands (5); Italy (2); Romania (2)	2025: All That's Left of You; 2025: N3G; 2025: They Come Out of Margo; 2023: To the North; 2023: Embryo Larva Butterfly	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Greece	Production country appearances in KVIFF catalogue
01/07/1998	Hong Kong	22.3	114.2	3	13	Asie	31	13	41.9 %	1	1995	2025	1995 (6)	China (9); USA (4); France (2); Germany (1); Italy (1); Luxembourg (1); Thailand (1); Netherlands (1)	2025: Keep Out; 2025: Mr. Vampire; 2024: Shambhala; 2023: Way of the Dragon; 2022: All the Crows in the World	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Hong Kong	Production country appearances in KVIFF catalogue
01/07/1998	Hungary	47.2	19.5	5	24	Evropa	122	54	44.3 %	7	1992	2025	2000 (10)	Germany (22); France (11); Slovak Republic (8); Czech Republic (7); Romania (6); Austria (5); United Kingdom (4); USA (4)	2025: Diamond Beauty; 2025: Jimmy Jaguar; 2024: Explanation for Everything; 2023: Infinity Pool; 2023: White Plastic Sky	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Hungary	Production country appearances in KVIFF catalogue
01/07/1998	India	20.6	78.9	3	10	Asie	57	15	26.3 %	1	1994	2024	2014 (8)	France (6); Germany (4); United Kingdom (4); USA (4); Netherlands (2); Czech Republic (1); Singapore (1); South Korea (1)	2024: All We Imagine as Light; 2024: Girls Will Be Girls; 2024: Santosh; 2024: Slow Shift; 2024: Second Chance	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	India	Production country appearances in KVIFF catalogue
01/07/1998	Iran	32.4	53.7	1	9	Blizky vychod	103	25	24.3 %	1	1992	2025	2023 (13)	France (12); Germany (5); Italy (2); USA (2); United Kingdom (2); Turkey (2); Japan (1); Iraq (1)	2025: Cinema Jazireh; 2025: It Was Just an Accident; 2025: Put Your Soul on Your Hand and Walk; 2025: Tehran Another View; 2025: Bidad	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Iran	Production country appearances in KVIFF catalogue
01/07/1998	Italy	41.9	12.6	7	34	Evropa	346	184	53.2 %	9	1994	2025	2012 (33)	France (117); Germany (31); United Kingdom (21); USA (20); Spain (17); Belgium (16); Switzerland (16); Czech Republic (9)	2025: Little Trouble Girls; 2025: April; 2025: Caravan; 2025: Vermiglio; 2025: Feeling Better	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Italy	Production country appearances in KVIFF catalogue
01/07/1998	Japan	36.2	138.3	11	23	Asie	176	41	23.3 %	1	1994	2025	2023 (16)	France (14); USA (9); Germany (7); Netherlands (6); South Korea (4); China (3); Spain (3); Taiwan (2)	2025: Renoir; 2025: Point Break; 2024: Artist of Fasting; 2024: Oyu; 2024: Franz Kafka's A Country Doctor	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Japan	Production country appearances in KVIFF catalogue
01/07/1998	Kazakhstan	48	66.9	1	7	Asie	34	14	41.2 %	1	1994	2025	1999 (9)	France (9); Russia (5); Germany (5); Switzerland (2); Georgia (2); Kyrgyzstan (1); Japan (1); Netherlands (1)	2025: Cadet; 2024: Steppenwolf; 2018: Gentle Indifference of the World; 2014: Corn Island; 2014: Adventure	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Kazakhstan	Production country appearances in KVIFF catalogue
01/07/1998	Latvia	56.9	24.6	1	2	Evropa	50	25	50 %	3	1996	2025	2018 (11)	Germany (8); Lithuania (6); Estonia (5); Netherlands (4); Russia (3); Czech Republic (3); Sweden (2); Finland (2)	2025: Two Prosecutors; 2025: Renovation; 2022: My Love Affair with Marriage; 2019: Oleg; 2019: Certain Kind of Silence	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Latvia	Production country appearances in KVIFF catalogue
01/07/1998	Lithuania	55.2	23.9	5	8	Evropa	60	24	40 %	1	1992	2025	2018 (11)	France (9); Germany (6); Latvia (6); Belgium (4); Netherlands (3); Poland (2); Romania (2); Estonia (2)	2025: Two Prosecutors; 2025: Renovation; 2025: Visitor; 2025: Trains; 2025: Hoofs on Skates	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Lithuania	Production country appearances in KVIFF catalogue
01/07/1998	Mexico	23.6	-102.5	1	4	Latinska Amerika	94	48	51.1 %	1	1994	2025	2016 (9)	Spain (16); USA (14); France (13); Germany (12); Denmark (7); Netherlands (6); Argentina (5); Chile (3)	2025: Kill the Jockey; 2025: Blue Trail; 2025: Dreams; 2024: Dead Don't Hurt; 2024: Night Has Come	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Mexico	Production country appearances in KVIFF catalogue
01/07/1998	Mongolia	46.9	103.8	1	2	Asie	4	3	75 %	0	1997	2023	2023 (1)	Belgium (1); Germany (1); France (1); Switzerland (1); Qatar (1)	2023: If Only I Could Hibernate; 2004: Story of the Weeping Camel; 1998: State of Dogs; 1997: Alive Trace	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Mongolia	Production country appearances in KVIFF catalogue
01/07/1998	Morocco	31.8	-7.1	1	1	Afrika	13	12	92.3 %	0	1998	2024	2023 (2)	France (9); Qatar (4); Belgium (3); Germany (1); Switzerland (1); Spain (1); Serbia (1); Denmark (1)	2024: Cabo Negro; 2023: Mother of All Lies; 2023: Animalia; 2022: Blue Caftan; 2021: Zanka Contact	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Morocco	Production country appearances in KVIFF catalogue
01/07/1998	Netherlands	52.1	5.3	8	19	Evropa	211	123	58.3 %	7	1992	2025	2002 (22)	France (41); Germany (32); Belgium (23); USA (16); United Kingdom (14); Argentina (9); Sweden (9); Denmark (8)	2025: Two Prosecutors; 2025: Blue Trail; 2025: Divia; 2025: Timestamp; 2025: January	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Netherlands	Production country appearances in KVIFF catalogue
01/07/1998	Norway	60.5	8.5	1	4	Evropa	100	45	45 %	2	1994	2025	2005 (11)	France (18); Sweden (15); Germany (14); Denmark (12); USA (5); Netherlands (5); Iceland (4); Qatar (4)	2025: Sentimental Value; 2025: Visitor; 2025: Don't Call Me Mama; 2025: Dreams; 2024: Shambhala	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Norway	Production country appearances in KVIFF catalogue
01/07/1998	Poland	52	19.1	4	24	Evropa	201	78	38.8 %	22	1994	2025	2013 (11)	Czech Republic (22); Germany (22); France (19); Slovak Republic (12); Sweden (10); USA (6); Denmark (5); United Kingdom (5)	2025: Divia; 2025: Things You Kill; 2025: Trains; 2025: Son of Happiness; 2024: Housekeeping for Beginners	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Poland	Production country appearances in KVIFF catalogue
01/07/1998	Portugal	39.4	-8.2	2	3	Evropa	42	30	71.4 %	0	1997	2025	2025 (4)	France (23); Spain (7); Brazil (5); Switzerland (5); Germany (5); Italy (4); United Kingdom (3); Belgium (2)	2025: Ariel; 2025: Luminous Life; 2025: Maria Henriqueta Was Here; 2025: Two Times João Liberada; 2024: Banzo	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Portugal	Production country appearances in KVIFF catalogue
01/07/1998	Russia	61.5	105.3	19	76	Evropa	264	77	29.2 %	4	1992	2022	1998 (19)	Germany (27); France (26); Finland (6); Estonia (6); United Kingdom (5); Italy (5); Switzerland (5); Kazakhstan (5)	2022: Captain Volkonogov Escaped; 2022: Flood; 2021: Brighton 4th; 2021: Compartment No. 6; 2021: Conference	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Russia	Production country appearances in KVIFF catalogue
01/07/1998	Slovak Republic	48.7	19.7	2	9	Evropa	179	152	84.9 %	144	1994	2025	2017 (15)	Czech Republic (144); France (19); Germany (13); Poland (12); Hungary (8); Austria (6); Ukraine (4); Slovenia (4)	2025: Hurikán; 2025: Tales from the Magic Garden; 2025: Action Item; 2025: Caravan; 2025: I Died in Irpin	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Slovak Republic	Production country appearances in KVIFF catalogue
01/07/1998	South Korea	36.5	127.8	2	5	Asie	130	16	12.3 %	1	1992	2025	2001 (29)	France (6); Japan (4); USA (3); China (2); Germany (2); Tajikistan (1); Thailand (1); Netherlands (1)	2025: What Does that Nature Say to You; 2024: Nothing in Its Place; 2024: Artist of Fasting; 2024: Battery Mommy; 2024: Roundup: Punishment	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	South Korea	Production country appearances in KVIFF catalogue
01/07/1998	Spain	40.5	-3.7	13	35	Evropa	241	105	43.6 %	0	1992	2025	2001 (15)	France (45); Argentina (22); Italy (17); Mexico (16); Germany (12); United Kingdom (11); USA (10); Portugal (7)	2025: Kill the Jockey; 2025: Mysterious Gaze of the Flamingo; 2025: Anatomy of the Horses; 2025: Ariel; 2025: Sirât	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Spain	Production country appearances in KVIFF catalogue
01/07/1998	Sweden	60.1	18.6	2	8	Evropa	150	86	57.3 %	5	1995	2025	2010 (9)	Denmark (33); France (23); Germany (20); Norway (15); Finland (11); Poland (10); Netherlands (9); Iceland (7)	2025: Love That Remains; 2025: Visitor; 2024: Crossing; 2024: My Favourite Cake; 2024: Girl with the Needle	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Sweden	Production country appearances in KVIFF catalogue
01/07/1998	Switzerland	46.8	8.2	2	14	Evropa	140	99	70.7 %	6	1994	2025	2015 (12)	France (47); Germany (30); Italy (16); Austria (7); Czech Republic (6); United Kingdom (6); Belgium (6); Russia (5)	2025: Kontinental '25; 2025: Kuap; 2025: Teenage Cowboy; 2025: 1:10; 2024: Gloria!	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Switzerland	Production country appearances in KVIFF catalogue
01/07/1998	Taiwan	23.7	121	2	8	Asie	39	15	38.5 %	0	1994	2025	2024 (4)	France (7); USA (3); Japan (2); China (2); Singapore (2); Sweden (1); Philippines (1); Poland (1)	2025: Wedding Banquet; 2024: Shambhala; 2024: Sleep with Your Eyes Open; 2024: Pierce; 2024: Abiding Nowhere	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Taiwan	Production country appearances in KVIFF catalogue
01/07/1998	Thailand	15.9	101	2	2	Asie	21	7	33.3 %	0	1998	2025	2006 (4)	France (3); China (2); USA (2); Germany (2); Netherlands (1); South Korea (1); Hong Kong (1); Philippines (1)	2025: Crazy Lotus; 2022: Night Colonies; 2021: Memoria; 2021: Taste; 2021: Come Here	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Thailand	Production country appearances in KVIFF catalogue
01/07/1998	Tunisia	33.9	9.5	1	2	Afrika	14	13	92.9 %	0	1997	2025	2022 (3)	France (9); Qatar (5); Belgium (4); Switzerland (2); United Arab Emirates (2); Lebanon (2); Palestine (1); Netherlands (1)	2025: Promised Sky; 2024: Who Do I Belong To; 2022: Under the Fig Trees; 2022: Harka; 2022: Beirut the Encounter	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Tunisia	Production country appearances in KVIFF catalogue
01/07/1998	Turkey	39	35.2	1	2	Blizky vychod	69	44	63.8 %	1	1992	2025	2004 (11)	France (17); Germany (15); Greece (7); Bulgaria (6); Bosnia and Herzegovina (4); Switzerland (4); Qatar (4); Italy (3)	2025: Cinema Jazireh; 2025: Things You Kill; 2024: Shambhala; 2024: Crossing; 2024: Nothing in Its Place	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Turkey	Production country appearances in KVIFF catalogue
01/07/1998	Turkmenistan	38.9	59.6	1	2	Asie	2	0	0 %	0	1997	1998	1998 (1)		1998: Toba - Repentance; 1997: The Burnt Soul	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Turkmenistan	Production country appearances in KVIFF catalogue
01/07/1998	Ukraine	48.4	31.2	5	7	Evropa	50	27	54 %	4	1997	2025	1998 (5)	France (7); Germany (6); Netherlands (6); Czech Republic (4); Slovak Republic (4); Poland (3); USA (3); Russia (2)	2025: Divia; 2025: Timestamp; 2025: I Died in Irpin; 2025: 2000 Metres to Andriivka; 2024: Porcelain War	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Ukraine	Production country appearances in KVIFF catalogue
01/07/1998	United Kingdom	55.4	-3.4	13	57	Evropa	507	227	44.8 %	14	1994	2025	2014 (39)	USA (69); France (51); Germany (32); Ireland (27); Italy (21); Canada (14); Czech Republic (14); Netherlands (14)	2025: Kontinental '25; 2025: Bogancloch; 2025: N3G; 2025: Barry Lyndon; 2025: Christy	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	United Kingdom	Production country appearances in KVIFF catalogue
01/07/1998	USA	39.8	-98.6	52	197	Severni Amerika	1077	273	25.3 %	15	1994	2025	2006 (61)	United Kingdom (69); France (60); Germany (44); Italy (20); Netherlands (16); Czech Republic (15); Canada (15); Mexico (14)	2025: Kill the Jockey; 2025: Divia; 2025: About a Hero; 2025: Barry Lyndon; 2025: Dreams	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	USA	Production country appearances in KVIFF catalogue
01/07/1998	Yugoslavia	44	20.9	1	10	Evropa	29	4	13.8 %	0	1994	2017	1999 (14)	Italy (2); Cyprus (1); USA (1); Canada (1); Germany (1)	2017: WR: Mysteries of the Organism; 2002: Boomerang; 2001: War Live; 2000: Sky Hook; 2000: A Film with No Name	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Yugoslavia	Production country appearances in KVIFF catalogue
01/07/1999	Argentina	-38.4	-63.6	1	7	Latinska Amerika	99	64	64.6 %	1	1995	2025	2007 (7)	Spain (22); France (20); Germany (16); Brazil (11); Uruguay (10); Netherlands (9); Italy (8); USA (8)	2025: Kill the Jockey; 2024: Sleep with Your Eyes Open; 2024: AliEN0089; 2024: Rescue: The Weight of the World; 2023: Delinquents	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Argentina	Production country appearances in KVIFF catalogue
01/07/1999	Austria	47.5	14.5	4	22	Evropa	192	88	45.8 %	6	1992	2025	2003 (11)	Germany (51); France (23); Switzerland (7); Luxembourg (6); Slovak Republic (6); Czech Republic (6); USA (5); Hungary (5)	2025: Perla; 2025: bluish; 2025: Perseidas; 2024: Village Next To Paradise; 2024: I’m Not Everything I Want to Be	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Austria	Production country appearances in KVIFF catalogue
01/07/1999	Belgium	50.5	4.5	24	34	Evropa	212	144	67.9 %	0	1992	2025	1999 (24)	France (107); Netherlands (23); Italy (16); Germany (12); United Kingdom (11); Luxembourg (11); Switzerland (6); Qatar (5)	2025: Mysterious Gaze of the Flamingo; 2025: Renovation; 2025: Vermiglio; 2025: Kika; 2025: Merckx	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Belgium	Production country appearances in KVIFF catalogue
01/07/1999	Brazil	-14.2	-51.9	1	3	Latinska Amerika	74	33	44.6 %	0	1995	2025	2002 (18)	France (20); Germany (11); Argentina (11); Portugal (5); Netherlands (5); Spain (4); Chile (3); Uruguay (3)	2025: Kontinental '25; 2025: Blue Trail; 2025: Future Future; 2024: Sleep with Your Eyes Open; 2023: Delinquents	Pripraveno pro doplneni cen. Aktualni country raw zdroj neobsahuje systematicke oceneni jednotlivych filmu.	Pripraveno pro doplneni reziseru. Aktualni agregacni raw zdroj je ve vygenerovane podobe systematicky neuklada.	Brazil	Production country appearances in KVIFF catalogue
