První účast na KVIFF	Země	Latitude	Longitude	Production country appearances	Filmů celkem	Filmů celkem k danému roku	Podíl koprodukcí	Koprodukce s Českem	Kontinent	První účast na KVIFF	Zatím poslední účast na KVIFF	Nejvýraznější rok	Top koprodukční partneři	Ukázkové filmy	DetailKey	Metric
07.01.2022	Morocco	31.8	-7.1	1	13	10	92.3 %	0	Afrika	1998	2024	2023 (2)	France (9); Qatar (4); Belgium (3); Germany (1); Switzerland (1); Spain (1); Serbia (1); Denmark (1)	2024: Cabo Negro; 2023: Mother of All Lies; 2023: Animalia; 2022: Blue Caftan; 2021: Zanka Contact	Morocco	Production country appearances in KVIFF catalogue
07.01.2023	Morocco	31.8	-7.1	2	13	12	92.3 %	0	Afrika	1998	2024	2023 (2)	France (9); Qatar (4); Belgium (3); Germany (1); Switzerland (1); Spain (1); Serbia (1); Denmark (1)	2024: Cabo Negro; 2023: Mother of All Lies; 2023: Animalia; 2022: Blue Caftan; 2021: Zanka Contact	Morocco	Production country appearances in KVIFF catalogue
07.01.2024	Morocco	31.8	-7.1	1	13	13	92.3 %	0	Afrika	1998	2024	2023 (2)	France (9); Qatar (4); Belgium (3); Germany (1); Switzerland (1); Spain (1); Serbia (1); Denmark (1)	2024: Cabo Negro; 2023: Mother of All Lies; 2023: Animalia; 2022: Blue Caftan; 2021: Zanka Contact	Morocco	Production country appearances in KVIFF catalogue
07.01.2024	Namibia	-22.9	18.5	1	1	1	100 %	0	Afrika	2024	2024	2024 (1)	Dominican Republic (1); Germany (1); France (1)	2024: Pepe	Namibia	Production country appearances in KVIFF catalogue
07.01.2023	Nigeria	9.1	8.7	1	2	1	100 %	0	Afrika	2023	2025	2025 (1)	United Kingdom (2); France (1)	2025: My Father's Shadow; 2023: Mami WataÂ â AÂ West Afrikan Folklore	Nigeria	Production country appearances in KVIFF catalogue
07.01.2025	Nigeria	9.1	8.7	1	2	2	100 %	0	Afrika	2023	2025	2025 (1)	United Kingdom (2); France (1)	2025: My Father's Shadow; 2023: Mami WataÂ â AÂ West Afrikan Folklore	Nigeria	Production country appearances in KVIFF catalogue
07.01.2002	Rwanda	-1.9	29.9	1	3	1	66.7 %	0	Afrika	2002	2022	2022 (1)	United Kingdom (2); Germany (1)	2022: Fatherâs Day; 2006: Shooting Dogs; 2002: 100 Days	Rwanda	Production country appearances in KVIFF catalogue
07.01.2006	Rwanda	-1.9	29.9	1	3	2	66.7 %	0	Afrika	2002	2022	2022 (1)	United Kingdom (2); Germany (1)	2022: Fatherâs Day; 2006: Shooting Dogs; 2002: 100 Days	Rwanda	Production country appearances in KVIFF catalogue
07.01.2022	Rwanda	-1.9	29.9	1	3	3	66.7 %	0	Afrika	2002	2022	2022 (1)	United Kingdom (2); Germany (1)	2022: Fatherâs Day; 2006: Shooting Dogs; 2002: 100 Days	Rwanda	Production country appearances in KVIFF catalogue
07.01.2026	Rwanda	-1.9	29.9	1	3	4	66.7 %	0	Afrika	2002	2022	2022 (1)	United Kingdom (2); Germany (1)	2022: Fatherâs Day; 2006: Shooting Dogs; 2002: 100 Days	Rwanda	Production country appearances in KVIFF catalogue
