key	country_cs	continent	year	appearances	cumulative
Brazil	Brazílie	Amerika (Jižní)	2023	3	70
Brazil	Brazílie	Amerika (Jižní)	2024	1	71
Brazil	Brazílie	Amerika (Jižní)	2025	3	74
Brazil	Brazílie	Amerika (Jižní)	2026	4	78
Bulgaria	Bulharsko	Evropa	1994	1	1
Bulgaria	Bulharsko	Evropa	1996	1	2
Bulgaria	Bulharsko	Evropa	1997	1	3
Bulgaria	Bulharsko	Evropa	1998	1	4
Bulgaria	Bulharsko	Evropa	2000	1	5
Bulgaria	Bulharsko	Evropa	2001	1	6
Bulgaria	Bulharsko	Evropa	2002	2	8
Bulgaria	Bulharsko	Evropa	2003	2	10
Bulgaria	Bulharsko	Evropa	2004	1	11
Bulgaria	Bulharsko	Evropa	2005	3	14
Bulgaria	Bulharsko	Evropa	2006	2	16
Bulgaria	Bulharsko	Evropa	2007	2	18
Bulgaria	Bulharsko	Evropa	2008	3	21
Bulgaria	Bulharsko	Evropa	2009	2	23
Bulgaria	Bulharsko	Evropa	2011	2	25
Bulgaria	Bulharsko	Evropa	2012	3	28
Bulgaria	Bulharsko	Evropa	2013	1	29
Bulgaria	Bulharsko	Evropa	2014	2	31
Bulgaria	Bulharsko	Evropa	2015	3	34
Bulgaria	Bulharsko	Evropa	2016	1	35
Bulgaria	Bulharsko	Evropa	2017	3	38
Bulgaria	Bulharsko	Evropa	2018	4	42
Bulgaria	Bulharsko	Evropa	2019	1	43
Bulgaria	Bulharsko	Evropa	2021	3	46
Bulgaria	Bulharsko	Evropa	2022	1	47
Bulgaria	Bulharsko	Evropa	2023	3	50
Bulgaria	Bulharsko	Evropa	2024	1	51
Bulgaria	Bulharsko	Evropa	2025	2	53
Bulgaria	Bulharsko	Evropa	2026	4	57
Burkina Faso	Burkina Faso	Afrika	2007	1	1
Cambodia	Kambodža	Asie	2013	1	1
Cambodia	Kambodža	Asie	2014	1	2
Cambodia	Kambodža	Asie	2016	1	3
Cambodia	Kambodža	Asie	2021	1	4
Canada	Kanada	Amerika (Severní)	1992	1	1
Canada	Kanada	Amerika (Severní)	1994	5	6
Canada	Kanada	Amerika (Severní)	1995	5	11
Canada	Kanada	Amerika (Severní)	1996	7	18
Canada	Kanada	Amerika (Severní)	1997	12	30
Canada	Kanada	Amerika (Severní)	1998	3	33
Canada	Kanada	Amerika (Severní)	1999	15	48
Canada	Kanada	Amerika (Severní)	2000	7	55
Canada	Kanada	Amerika (Severní)	2001	2	57
Canada	Kanada	Amerika (Severní)	2002	7	64
Canada	Kanada	Amerika (Severní)	2003	11	75
Canada	Kanada	Amerika (Severní)	2004	6	81
Canada	Kanada	Amerika (Severní)	2005	16	97
Canada	Kanada	Amerika (Severní)	2006	7	104
Canada	Kanada	Amerika (Severní)	2007	8	112
Canada	Kanada	Amerika (Severní)	2008	6	118
Canada	Kanada	Amerika (Severní)	2009	6	124
Canada	Kanada	Amerika (Severní)	2010	6	130
Canada	Kanada	Amerika (Severní)	2011	11	141
Canada	Kanada	Amerika (Severní)	2012	10	151
Canada	Kanada	Amerika (Severní)	2013	8	159
Canada	Kanada	Amerika (Severní)	2014	7	166
Canada	Kanada	Amerika (Severní)	2015	8	174
Canada	Kanada	Amerika (Severní)	2016	8	182
Canada	Kanada	Amerika (Severní)	2017	4	186
Canada	Kanada	Amerika (Severní)	2018	4	190
Canada	Kanada	Amerika (Severní)	2019	1	191
Canada	Kanada	Amerika (Severní)	2021	5	196
Canada	Kanada	Amerika (Severní)	2022	5	201
Canada	Kanada	Amerika (Severní)	2023	5	206
Canada	Kanada	Amerika (Severní)	2024	7	213
Canada	Kanada	Amerika (Severní)	2025	6	219
Canada	Kanada	Amerika (Severní)	2026	4	223
Chad	Chad	Afrika	2003	1	1
Chad	Chad	Afrika	2007	1	2
Chad	Chad	Afrika	2010	1	3
Chad	Chad	Afrika	2013	1	4
Chile	Chile	Amerika (Jižní)	1998	1	1
Chile	Chile	Amerika (Jižní)	2001	1	2
Chile	Chile	Amerika (Jižní)	2005	2	4
Chile	Chile	Amerika (Jižní)	2006	1	5
Chile	Chile	Amerika (Jižní)	2009	1	6
Chile	Chile	Amerika (Jižní)	2011	2	8
Chile	Chile	Amerika (Jižní)	2013	2	10
Chile	Chile	Amerika (Jižní)	2015	3	13
Chile	Chile	Amerika (Jižní)	2016	1	14
Chile	Chile	Amerika (Jižní)	2017	4	18
Chile	Chile	Amerika (Jižní)	2018	2	20
Chile	Chile	Amerika (Jižní)	2019	2	22
Chile	Chile	Amerika (Jižní)	2022	1	23
Chile	Chile	Amerika (Jižní)	2023	2	25
Chile	Chile	Amerika (Jižní)	2024	1	26
Chile	Chile	Amerika (Jižní)	2025	2	28
Chile	Chile	Amerika (Jižní)	2026	4	32
China	Čína	Asie	1994	2	2
China	Čína	Asie	1995	1	3
China	Čína	Asie	1996	2	5
China	Čína	Asie	1998	2	7
China	Čína	Asie	2000	4	11
China	Čína	Asie	2001	2	13
China	Čína	Asie	2002	8	21
China	Čína	Asie	2003	2	23
China	Čína	Asie	2004	3	26
China	Čína	Asie	2005	7	33
China	Čína	Asie	2006	3	36
China	Čína	Asie	2007	5	41
China	Čína	Asie	2008	4	45
China	Čína	Asie	2009	2	47
China	Čína	Asie	2010	1	48
China	Čína	Asie	2011	1	49
China	Čína	Asie	2013	2	51
China	Čína	Asie	2014	1	52
China	Čína	Asie	2015	1	53
China	Čína	Asie	2016	3	56
China	Čína	Asie	2018	3	59
China	Čína	Asie	2019	3	62
China	Čína	Asie	2022	1	63
China	Čína	Asie	2024	3	66
China	Čína	Asie	2025	2	68
China	Čína	Asie	2026	1	69
Colombia	Kolumbie	Amerika (Jižní)	2004	1	1
Colombia	Kolumbie	Amerika (Jižní)	2005	2	3
Colombia	Kolumbie	Amerika (Jižní)	2010	1	4
Colombia	Kolumbie	Amerika (Jižní)	2014	1	5
Colombia	Kolumbie	Amerika (Jižní)	2015	3	8
Colombia	Kolumbie	Amerika (Jižní)	2016	1	9
Colombia	Kolumbie	Amerika (Jižní)	2018	2	11
Colombia	Kolumbie	Amerika (Jižní)	2019	2	13
Colombia	Kolumbie	Amerika (Jižní)	2021	2	15
Colombia	Kolumbie	Amerika (Jižní)	2023	1	16
Colombia	Kolumbie	Amerika (Jižní)	2025	2	18
Colombia	Kolumbie	Amerika (Jižní)	2026	2	20
Costa Rica	Kostarika	Amerika (Jižní)	2015	1	1
Croatia	Chorvatsko	Evropa	1994	1	1
Croatia	Chorvatsko	Evropa	1996	1	2
Croatia	Chorvatsko	Evropa	1999	1	3
Croatia	Chorvatsko	Evropa	2000	2	5
Croatia	Chorvatsko	Evropa	2001	2	7
Croatia	Chorvatsko	Evropa	2002	1	8
Croatia	Chorvatsko	Evropa	2004	2	10
Croatia	Chorvatsko	Evropa	2006	2	12
Croatia	Chorvatsko	Evropa	2007	2	14
Croatia	Chorvatsko	Evropa	2008	1	15
Croatia	Chorvatsko	Evropa	2009	3	18
Croatia	Chorvatsko	Evropa	2010	3	21
Croatia	Chorvatsko	Evropa	2011	2	23
Croatia	Chorvatsko	Evropa	2012	2	25
Croatia	Chorvatsko	Evropa	2013	6	31
Croatia	Chorvatsko	Evropa	2014	2	33
Croatia	Chorvatsko	Evropa	2015	4	37
Croatia	Chorvatsko	Evropa	2016	5	42
Croatia	Chorvatsko	Evropa	2017	6	48
Croatia	Chorvatsko	Evropa	2018	5	53
Croatia	Chorvatsko	Evropa	2019	2	55
Croatia	Chorvatsko	Evropa	2021	5	60
Croatia	Chorvatsko	Evropa	2022	2	62
Croatia	Chorvatsko	Evropa	2023	1	63
Croatia	Chorvatsko	Evropa	2024	4	67
Croatia	Chorvatsko	Evropa	2025	4	71
Croatia	Chorvatsko	Evropa	2026	3	74
Cuba	Kuba	Amerika (Jižní)	1994	2	2
Cuba	Kuba	Amerika (Jižní)	1996	1	3
Cyprus	Kypr	Evropa	1995	1	1
Cyprus	Kypr	Evropa	2009	1	2
Cyprus	Kypr	Evropa	2014	1	3
Cyprus	Kypr	Evropa	2015	1	4
Cyprus	Kypr	Evropa	2018	2	6
Cyprus	Kypr	Evropa	2021	1	7
Cyprus	Kypr	Evropa	2023	1	8
Cyprus	Kypr	Evropa	2025	2	10
Cyprus	Kypr	Evropa	2026	3	13
Czech Republic	Česká republika	Evropa	1994	46	46
Czech Republic	Česká republika	Evropa	1995	16	62
Czech Republic	Česká republika	Evropa	1996	11	73
Czech Republic	Česká republika	Evropa	1997	40	113
Czech Republic	Česká republika	Evropa	1998	11	124
Czech Republic	Česká republika	Evropa	1999	19	143
Czech Republic	Česká republika	Evropa	2000	21	164
Czech Republic	Česká republika	Evropa	2001	18	182
Czech Republic	Česká republika	Evropa	2002	23	205
Czech Republic	Česká republika	Evropa	2003	20	225
Czech Republic	Česká republika	Evropa	2004	22	247
Czech Republic	Česká republika	Evropa	2005	21	268
Czech Republic	Česká republika	Evropa	2006	29	297
Czech Republic	Česká republika	Evropa	2007	32	329
Czech Republic	Česká republika	Evropa	2008	27	356
Czech Republic	Česká republika	Evropa	2009	33	389
Czech Republic	Česká republika	Evropa	2010	33	422
Czech Republic	Česká republika	Evropa	2011	23	445
Czech Republic	Česká republika	Evropa	2012	26	471
Czech Republic	Česká republika	Evropa	2013	29	500
Czech Republic	Česká republika	Evropa	2014	30	530
Czech Republic	Česká republika	Evropa	2015	32	562
Czech Republic	Česká republika	Evropa	2016	24	586
Czech Republic	Česká republika	Evropa	2017	23	609
Czech Republic	Česká republika	Evropa	2018	30	639
Czech Republic	Česká republika	Evropa	2019	29	668
Czech Republic	Česká republika	Evropa	2021	22	690
Czech Republic	Česká republika	Evropa	2022	22	712
Czech Republic	Česká republika	Evropa	2023	25	737
Czech Republic	Česká republika	Evropa	2024	21	758
Czech Republic	Česká republika	Evropa	2025	25	783
Czech Republic	Česká republika	Evropa	2026	28	811
Czechoslovakia	Československo	Evropa	1992	1	1
Czechoslovakia	Československo	Evropa	1995	16	17
Czechoslovakia	Československo	Evropa	1996	2	19
Czechoslovakia	Československo	Evropa	1997	4	23
Czechoslovakia	Československo	Evropa	1998	1	24
Czechoslovakia	Československo	Evropa	2000	1	25
Czechoslovakia	Československo	Evropa	2001	1	26
Czechoslovakia	Československo	Evropa	2002	1	27
Czechoslovakia	Československo	Evropa	2003	5	32
Czechoslovakia	Československo	Evropa	2005	1	33
Czechoslovakia	Československo	Evropa	2006	2	35
Czechoslovakia	Československo	Evropa	2007	13	48
Czechoslovakia	Československo	Evropa	2008	4	52
Czechoslovakia	Československo	Evropa	2009	2	54
Czechoslovakia	Československo	Evropa	2010	4	58
Czechoslovakia	Československo	Evropa	2011	3	61
Czechoslovakia	Československo	Evropa	2012	4	65
Czechoslovakia	Československo	Evropa	2013	6	71
Czechoslovakia	Československo	Evropa	2014	4	75
Czechoslovakia	Československo	Evropa	2015	4	79
Czechoslovakia	Československo	Evropa	2016	9	88
Czechoslovakia	Československo	Evropa	2017	14	102
Czechoslovakia	Československo	Evropa	2018	6	108
Czechoslovakia	Československo	Evropa	2019	11	119
Czechoslovakia	Československo	Evropa	2021	1	120
Czechoslovakia	Československo	Evropa	2022	5	125
Czechoslovakia	Československo	Evropa	2023	3	128
Czechoslovakia	Československo	Evropa	2024	4	132
Czechoslovakia	Československo	Evropa	2025	3	135
Czechoslovakia	Československo	Evropa	2026	3	138
Democratic Republic of the Congo	Democratic Republic of the Congo	Afrika	2023	1	1
Denmark	Dánsko	Evropa	1995	2	2
Denmark	Dánsko	Evropa	1996	3	5
Denmark	Dánsko	Evropa	1997	1	6
Denmark	Dánsko	Evropa	1998	3	9
Denmark	Dánsko	Evropa	1999	1	10
Denmark	Dánsko	Evropa	2000	5	15
Denmark	Dánsko	Evropa	2001	2	17
Denmark	Dánsko	Evropa	2002	2	19
Denmark	Dánsko	Evropa	2003	7	26
Denmark	Dánsko	Evropa	2004	6	32
Denmark	Dánsko	Evropa	2005	10	42
Denmark	Dánsko	Evropa	2006	4	46
Denmark	Dánsko	Evropa	2007	4	50
Denmark	Dánsko	Evropa	2008	6	56
Denmark	Dánsko	Evropa	2009	4	60
Denmark	Dánsko	Evropa	2010	9	69
Denmark	Dánsko	Evropa	2011	7	76
Denmark	Dánsko	Evropa	2012	9	85
Denmark	Dánsko	Evropa	2013	6	91
Denmark	Dánsko	Evropa	2014	5	96
Denmark	Dánsko	Evropa	2015	6	102
Denmark	Dánsko	Evropa	2016	3	105
Denmark	Dánsko	Evropa	2017	6	111
Denmark	Dánsko	Evropa	2018	5	116
Denmark	Dánsko	Evropa	2019	6	122
Denmark	Dánsko	Evropa	2021	3	125
Denmark	Dánsko	Evropa	2022	8	133
Denmark	Dánsko	Evropa	2023	7	140
Denmark	Dánsko	Evropa	2024	6	146
Denmark	Dánsko	Evropa	2025	4	150
Denmark	Dánsko	Evropa	2026	4	154
Dominican Republic	Dominikánská republika	Amerika (Jižní)	2018	1	1
Dominican Republic	Dominikánská republika	Amerika (Jižní)	2024	1	2
Egypt	Egypt	Afrika	2000	1	1
Egypt	Egypt	Afrika	2010	1	2
Egypt	Egypt	Afrika	2016	1	3
Egypt	Egypt	Afrika	2018	2	5
Egypt	Egypt	Afrika	2019	11	16
Egypt	Egypt	Afrika	2021	1	17
Egypt	Egypt	Afrika	2023	2	19
Estonia	Estonsko	Evropa	1996	3	3
Estonia	Estonsko	Evropa	1998	2	5
Estonia	Estonsko	Evropa	2002	1	6
Estonia	Estonsko	Evropa	2003	7	13
Estonia	Estonsko	Evropa	2004	4	17
Estonia	Estonsko	Evropa	2005	1	18
Estonia	Estonsko	Evropa	2006	1	19
Estonia	Estonsko	Evropa	2007	2	21
Estonia	Estonsko	Evropa	2008	2	23
Estonia	Estonsko	Evropa	2010	1	24
Estonia	Estonsko	Evropa	2011	1	25
Estonia	Estonsko	Evropa	2012	1	26
Estonia	Estonsko	Evropa	2013	1	27
Estonia	Estonsko	Evropa	2014	4	31
Estonia	Estonsko	Evropa	2016	3	34
Estonia	Estonsko	Evropa	2017	4	38
Estonia	Estonsko	Evropa	2018	7	45
Estonia	Estonsko	Evropa	2019	2	47
Estonia	Estonsko	Evropa	2021	3	50
Estonia	Estonsko	Evropa	2022	1	51
Estonia	Estonsko	Evropa	2023	1	52
Estonia	Estonsko	Evropa	2026	1	53
Ethiopia	Ethiopia	Afrika	2009	1	1
Ethiopia	Ethiopia	Afrika	2015	1	2
Finland	Finsko	Evropa	1992	1	1
Finland	Finsko	Evropa	1994	2	3
Finland	Finsko	Evropa	1995	6	9
Finland	Finsko	Evropa	1996	2	11
Finland	Finsko	Evropa	1997	1	12
Finland	Finsko	Evropa	1998	2	14
Finland	Finsko	Evropa	1999	2	16
Finland	Finsko	Evropa	2000	2	18
Finland	Finsko	Evropa	2001	1	19
Finland	Finsko	Evropa	2002	4	23
Finland	Finsko	Evropa	2003	3	26
Finland	Finsko	Evropa	2004	2	28
Finland	Finsko	Evropa	2005	2	30
Finland	Finsko	Evropa	2006	5	35
Finland	Finsko	Evropa	2007	2	37
Finland	Finsko	Evropa	2008	3	40
Finland	Finsko	Evropa	2009	2	42
Finland	Finsko	Evropa	2010	3	45
Finland	Finsko	Evropa	2011	4	49
Finland	Finsko	Evropa	2012	2	51
Finland	Finsko	Evropa	2013	2	53
Finland	Finsko	Evropa	2014	3	56
Finland	Finsko	Evropa	2015	1	57
Finland	Finsko	Evropa	2016	2	59
Finland	Finsko	Evropa	2017	4	63
Finland	Finsko	Evropa	2018	3	66
Finland	Finsko	Evropa	2019	1	67
Finland	Finsko	Evropa	2021	1	68
Finland	Finsko	Evropa	2022	3	71
Finland	Finsko	Evropa	2023	2	73
Finland	Finsko	Evropa	2024	2	75
Finland	Finsko	Evropa	2025	1	76
Finland	Finsko	Evropa	2026	2	78
France	Francie	Evropa	1992	3	3
France	Francie	Evropa	1994	10	13
France	Francie	Evropa	1995	13	26
France	Francie	Evropa	1996	26	52
France	Francie	Evropa	1997	29	81
France	Francie	Evropa	1998	26	107
France	Francie	Evropa	1999	21	128
France	Francie	Evropa	2000	32	160
France	Francie	Evropa	2001	29	189
France	Francie	Evropa	2002	29	218
France	Francie	Evropa	2003	46	264
France	Francie	Evropa	2004	30	294
France	Francie	Evropa	2005	34	328
France	Francie	Evropa	2006	28	356
France	Francie	Evropa	2007	38	394
France	Francie	Evropa	2008	23	417
France	Francie	Evropa	2009	31	448
France	Francie	Evropa	2010	33	481
France	Francie	Evropa	2011	23	504
France	Francie	Evropa	2012	39	543
France	Francie	Evropa	2013	30	573
France	Francie	Evropa	2014	31	604
France	Francie	Evropa	2015	41	645
France	Francie	Evropa	2016	45	690
France	Francie	Evropa	2017	33	723
France	Francie	Evropa	2018	33	756
France	Francie	Evropa	2019	25	781
France	Francie	Evropa	2021	39	820
France	Francie	Evropa	2022	37	857
France	Francie	Evropa	2023	44	901
France	Francie	Evropa	2024	54	955
France	Francie	Evropa	2025	30	985
France	Francie	Evropa	2026	36	1021
Gabon	Gabon	Afrika	2026	1	1
Georgia	Gruzie	Asie	1994	1	1
Georgia	Gruzie	Asie	1996	1	2
Georgia	Gruzie	Asie	1997	2	4
Georgia	Gruzie	Asie	1999	1	5
Georgia	Gruzie	Asie	2001	1	6
Georgia	Gruzie	Asie	2009	1	7
Georgia	Gruzie	Asie	2011	1	8
